Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Ashfield,Pharmacy 4 Less Ashfield,Shop 5 Level 3/260A Liverpool Road,2131,(02) 9716 0066,Inner West Council,Urinary tract infection
Ashfield,Day and Night Chemist Ashfield,1 Hercules Street,2131,(02) 9798 4778,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Auburn,Auburn Central Pharmacy,Auburn Central Shopping CentreShop Q22/57-59 Queen Street,2144,(02) 9649 2900,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Auburn,Cincotta Discount Chemist Auburn,47-51 Auburn Road,2144,(02) 9649 7900,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Austral,West Hoxton Pharmacy,Shop 7/400 Corner Fifteenth and Edmondson Avenue,2179,(02) 9606 0150,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Austral,Austral Pharmacist Advice,Corner of Edmondson Avenue and Tenth Avenue,2179,(02) 9606 9091,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Avalon,TerryWhite Chemmart Avalon,58-60 Old Barrenjoey Rd,2107,(02) 9973 1277,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Balgowlah,Pharmacy Select Balgowlah,73/197-215 Condamine Street,2093,(02) 9949 3266,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Balgowlah,Cincotta Chemist Balgowlah,352 Sydney Road,2093,(02) 9948 2631,Northern Beaches Council,Urinary tract infection
Balgowlah Heights,Balgowlah Heights Pharmacy,67 New Street West,2093,(02) 9948 2995,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Ballina,Blooms the Chemist Ballina,Shop 68 Ballina Fair Corner Fox and Kerr Street,2478,(02) 6686 9202,Ballina Shire Council,Urinary tract infection
Ballina,Priceline Pharmacy Ballina Central,"Shop 2, Ballina Central, 44 Bangalow Road",2478,(02) 6681 5733,Ballina Shire Council,"Urinary tract infection, Oral contraceptive pill"
Ballina,TerryWhite Chemmart Ballina,102-110 River Street,2478,(02) 6686 8800,Ballina Shire Council,"Urinary tract infection, Oral contraceptive pill"
Balmain,Wall's Pharmacy,345 Darling Street,2041,(02) 9810 1290,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Balmain,Balmain Community Pharmacy,273 Darling Street,2041,(02) 9810 2942,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Balmain,Chemist Warehouse Balmain Darling Street,293 Darling Street,2041,(02) 9810 1370,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Bangor,Bangor Pharmacy,Shop 2/121 Yala Road,2234,(02) 9543 1160,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bankstown,Chemist Warehouse Bankstown,26-28 Bankstown City Plaza,2200,(02) 9790 1548,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bankstown,Pharmacy 4 Less Bankstown Central,1 North Terrace Shop SP247,2200,(02) 9569 3222,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bankstown,Bankstown Central Pharmacy,"North Terrace, Shop MM014A",2200,(02) 9709 3080,Canterbury Bankstown Council,Urinary tract infection
Bankstown,Chau's Pharmacy,302 Chapel Road,2200,(02) 9796 2424,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bankstown,Priceline Pharmacy Bankstown,1 North Terrace,2200,(02) 9708 5060,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bankstown,Priceline Pharmacy Bankstown Exchange,19 Bankstown City Plaza,2200,(02) 9790 2432,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Banora Point,United Chemists Banora Point,Corner Leisure And Darlington Drive,2486,(07) 5524 9011,Tweed Shire Council,Urinary tract infection
Bargo,Bargo Caremore Pharmacy,4/70 Railside Avenue,2574,(02) 4684 1657,Wollondilly Shire Council,"Urinary tract infection, Oral contraceptive pill"
Basin View,Basin View Pharmacy,2/1 Tallyan Point Road,2540,(02) 4443 5038,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Bass Hill,Chemist Discount Centre Bass Hill,"Shop 33, 753 Hume Highway Road",2197,(02) 9728 2829,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bateau Bay,Bateau Bay Wholelife Pharmacy and Healthfoods,Shop 11-15 Bateau Bay Square Bay Village Road,2261,(02) 4332 9439,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Bateau Bay,TerryWhite Chemmart Bateau Bay,"Shop 75 Bateau Bay Square, Bay Village Road",2261,(02) 4332 5166,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Batemans Bay,Capital Chemist Batemans Bay,"Shop G41 Village Centre, 1 Perry Street",2536,(02) 4472 9720,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bathurst,TerryWhite Chemmart Bathurst,264 Stewart Street,2795,(02) 6332 6008,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Bathurst,Capital Chemist Bathurst,117 George Street,2795,(02) 6331 4033,Bathurst Region,"Urinary tract infection, Oral contraceptive pill"
Bathurst,Pharmacy 4 Less Bathurst,3/210 Howick Street,2795,(02) 6332 5316,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Bathurst,Moodie's Pharmacy,165-167 Howick Street,2795,(02) 6331 2955,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Bathurst,Blooms the Chemist Bathurst Stockland,"Shop 18A, 121 Howick Street",2795,(02) 6331 9033,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Bathurst,Forbutt's Keppel Street Pharmacy,65-67 Keppel Street,2795,(02) 6331 2899,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Batlow,The Bush Chemist Batlow,39 Pioneer Street,2730,(02) 6949 1153,Snowy Valleys Council,"Urinary tract infection, Oral contraceptive pill"
Baulkham Hills,Crestwood Centre Pharmacy,Shop 2/1a Glanmire Road,2153,(02) 9624 1434,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Baulkham Hills,Chemist Outlet Baulkham Hills,323 Windsor Road,2153,(02) 9639 1500,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Baulkham Hills,Priceline Pharmacy Baulkham Hills,"Shop 99, Stockland Mall, 375-383 Windsor Road, Baulkham Hills",2153,(02) 9639 5100,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Baulkham Hills,The Hills Chemist,"Level 2, Building C, 3 Columbia Circuit",2153,(02) 9894 5141,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bawley Point,Bawley Point Pharmacy,8/2 Voyager Crescent,2539,(02) 4457 2990,Shoalhaven City Council,Urinary tract infection
Beaconsfield,Good Price Pharmacy Warehouse Rosebery,2/530 Botany Road,2015,(02) 9699 1333,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Beaumont Hills,Chemist Warehouse Beaumont Hills,Shop 11-12 Beaumont Shopping Centre 70 The Parkway,2155,(02) 9672 6555,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Beecroft,Priceline Pharmacy Beecroft,Shop TG14 18 Hannah Street,2119,(02) 9484 1000,The Council of the Shire of Hornsby,"Urinary tract infection, Oral contraceptive pill"
Bega,Plevey's Pharmacy,154 Carp Street,2550,(02) 6492 1015,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bega,Direct Chemist Outlet Sapphire Marketplace,"Shop MM 01, 106 Auckland Street",2550,(02) 6492 0500,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Belconnen,Priceline Pharmacy Belconnen,"Suite 5B/1-5 Chandler Street, Westfield Belconnen",2617,(02) 6256 8900,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Belfield,Bridge Of Belfield Pharmacy,7 Burwood Road,2191,(02) 9642 2356,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Bellambi,Bellambi Drive Thru Pharmacy,5/53-55 Pioneer Road,2518,(02) 4284 3985,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Bellingen,Bellingen Pharmacy,70 Hyde Street,2454,(02) 6655 1124,Bellingen Shire Council,"Urinary tract infection, Oral contraceptive pill"
Belmont,Blooms the Chemist Belmont Central,"Shop T 7/8, Belmont Central Shopping Centre, 1 Singleton Street",2280,(02) 4945 4927,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Belmont,Chemist Outlet Belmont,389 Pacific Highway,2280,(02) 4945 2580,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Belmont,Blooms the Chemist Belmont Citi,"Shop 25, Belmont Citi Centre, 41 Macquarie Street",2280,(02) 4945 8878,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Belmore,Belmore Pharmacy,393 Burwood Road,2192,(02) 9759 2624,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Belmore,Belmore Compounding Chemist,417 Burwood Road,2192,(02) 9759 1526,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Belrose,Cincotta Discount Chemist Belrose,"Shop G05, 4-6 Niangala Close",2085,(02) 9986 3331,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Belrose,Belrose Chemist,"Shop 5, 56/58 Glen Street",2085,(02) 9452 5989,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Berala,Health Save Berala Pharmacy,174 Woodburn Road,2141,(02) 9649 7762,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Berala,Manning’s Pharmacy,"Shop 1, 150 Woodburn Road",2141,(02) 9649 4962,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Beresfield,Star Discount Chemist Beresfield,"Shop 14, The Avenue Plaza, 16 Lawson Avenue",2322,(02) 4003 7797,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Berkeley,Berkeley Pharmacy,Corner Of Winnima Way And Park Way Avenue,2506,(02) 4271 1258,Wollongong City Council,Urinary tract infection
Berkeley Vale,Berkeley Vale Pharmacy,3/252 Lakedge Avenue,2261,(02) 4388 2323,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Bermagui,Bermagui Pharmacy,22 Lamont Street,2546,(02) 6493 4353,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Berridale,Berridale Pharmacy,Shop 6B/74 Jindabyne Road,2628,(02) 6456 3022,Snowy Monaro Regional Council,"Urinary tract infection, Oral contraceptive pill"
Berrigan,Berrigan Pharmacy,67/69 Chanter Street,2712,(03) 5885 2400,Berrigan Shire Council,"Urinary tract infection, Oral contraceptive pill"
Berry,The Berry Pharmacy,106 Queen Street,2535,(02) 4464 1091,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Beverly Hills,Boian Night Chemist,486 King Georges Rd,2209,(02) 9580 5182,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Bexley,Gilchrist's Pharmacy,465 Forest Road,2207,(02) 9567 2678,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Bexley North,TerryWhite Chemmart Bexley North,"Shop 5&6, 8-20 Sarsfield Circuit",2216,(02) 9150 5541,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Bexley North,McFarland's Pharmacy,19 Shaw Street,2207,(02) 9150 5560,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Bingara,Bingara Pharmacy,42 Maitland Street,2404,(02) 6724 1400,Gwydir Shire Council,"Urinary tract infection, Oral contraceptive pill"
Binnaway,Binnaway Pharmacy,16 Renshaw Street,2395,(02) 6844 1378,Warrumbungle Shire,"Urinary tract infection, Oral contraceptive pill"
Blacktown,TerryWhite Chemmart Blacktown,7/6 St Martins Crescent,2148,(02) 8834 7137,Blacktown City,"Urinary tract infection, Oral contraceptive pill"
Blacktown,Priceline Pharmacy Blacktown,"Shop 1007, 17 Patrick Street",2148,(02) 9621 3290,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Blacktown,Cincotta Discount Chemist Blacktown,67 Main Street,2148,(02) 9622 1937,Blacktown City,"Urinary tract infection, Oral contraceptive pill"
Blacktown,Walters Road Pharmacy,74D Walters Road,2148,(02) 9622 3379,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Blaxland,Blaxland Day and Night Pharmacy,138 Great Western Highway,2774,(02) 4739 1611,Blue Mountains City Council,"Urinary tract infection, Oral contraceptive pill"
Blaxland,East Blaxland Community Pharmacy and Post,"Shop 1, 2 Normic Avenue",2774,(02) 4739 1513,Blue Mountains City Council,"Urinary tract infection, Oral contraceptive pill"
Bligh Park,Bligh Park Pharmacy,"Shop 4, Bligh Park Shopping Centre, 6 Colonial Drive",2756,(02) 4572 6444,Hawkesbury City Council,"Urinary tract infection, Oral contraceptive pill"
Blueys Beach,Pacific Palms Pharmacy,1/188 Boomerang Drive,2428,(02) 6554 0319,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Boambee East,Boambee Discount Drug Store,2/140 Linden Avenue,2452,(02) 6658 4008,Coffs Harbour City Council,"Urinary tract infection, Oral contraceptive pill"
Boggabri,Boggabri Pharmacy,"Shop 2, 132 Merton Street",2382,(02) 6743 4344,Narrabri Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bomaderry,Bomaderry Pharmacy,37B Meroo Street,2541,(02) 4421 2736,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Bomaderry,Choice Pharmacy Bomaderry,Shop 1/320 Princes Highway,2541,(02) 4421 0524,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Bondi,Arkle MediAdvice Pharmacy,81 Bondi Road,2026,(02) 9389 3118,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi,Ramsay Pharmacy Bondi,165 Bondi Road,2026,(02) 9389 3668,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Beach,Bondi Pharmacy,81 Hall Street,2026,(02) 9130 4680,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Beach,Hall Street Discount Pharmacy,"Shop 1, 62 Hall Street",2026,(02) 9130 2644,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,Fresh Therapeutics Bondi,Shop 6015/500 Oxford St,2022,(02) 9389 3168,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,TerryWhite Chemmart Bondi Junction,"Shop 3071, 500 Oxford Street",2022,(02) 9389 6560,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,Bondi Junction Pharmacy,3A Bronte Road,2022,(02) 8305 7792,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,Advantage Pharmacy Bondi Junction,"Shop 1037 - 1038, 500 Oxford Street",2022,(02) 9369 1350,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,Chemist Warehouse Bondi Junction,Shop 1 133-135 Oxford Street,2022,(02) 9387 3022,Waverley Council,Urinary tract infection
Bondi Junction,Your Local Bondi Junction Pharmacy,"Shop 1, 183-193 Oxford Street",2022,(02) 9387 7663,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bondi Junction,Blooms the Chemist Bondi Junction,"Shops 5-9, 71/91 Spring Street",2022,(02) 9300 1000,Waverley Council,Urinary tract infection
Bonnells Bay,Bonnells Bay Pharmacy,7/330 Fishery Point Road,2264,(02) 4973 3744,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Bonny Hills,Bonny Hills Pharmacy,"Shop 1, 10 Jungarra Crescent",2445,(02) 5504 5959,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Bonnyrigg,Priceline Pharmacy Bonnyrigg,"Shop 20, 100 Bonnyrigg Avenue",2177,(02) 9610 5255,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Bonnyrigg,Bonnyrigg Pharmacy,Shop 2/1 Rigg Place,2177,(02) 9823 3204,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Boolaroo,Chemistworks Boolaroo,31 Main Road,2284,(02) 4958 1063,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Boorooma,Chemist Warehouse Boorooma,"Shop 1, 2 Phar Lap Place",2650,(02) 6933 1596,Wagga Wagga City Council,"Urinary tract infection, Oral contraceptive pill"
Boorowa,Boorowa Pharmacy,11 Marsden Street,2586,(02) 6385 3211,Hilltops Council,"Urinary tract infection, Oral contraceptive pill"
Bourke,Bourke Pharmacy,32-36 Oxley Street,2840,(02) 6872 2004,Bourke Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bowral,Bowral Amcal Pharmacy,1/306 Bong Bong Street,2576,(02) 4861 1875,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bowral,Capital Chemist Bowral,300 Bong Bong Street,2576,(02) 4861 2212,Wingecarribee Shire,"Urinary tract infection, Oral contraceptive pill"
Bowral,Claytons Pharmacy,270 Bong Bong Steet,2576,(02) 4861 1075,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bowral,Priceline Pharmacy Bowral,10-15/310-312 Bong Bong Street,2576,(02) 4861 5255,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Box Hill,Choice Pharmacy Box Hill,Shop 01/745 Windsor Road,2765,(02) 8608 2271,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Bradbury,Bradbury Village Pharmacy,Shop 12B 100 the Pkwy,2560,(02) 4625 2901,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Braidwood,Capital Chemist Braidwood​​,"Shop 2, 46 Monkittee Street",2622,(02) 4842 2528,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Branxton,Piggots Pharmacy Branxton,56 Maitland Street,2335,(02) 4938 1156,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Branxton,Piggotts Pharmacy Huntlee,"Shop 1, 22 Empire Street",2335,(02) 4067 7866,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Broadmeadow,Pharmacy 4 Less Broadmeadow,2/7A Griffiths Road,2292,(02) 4962 1153,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Broadway,Chemistworks Broadway,"Shop LG4/LG5, 1 Bay Street",2007,(02) 9212 4377,City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Broken Hill,Netting Chemist,274 McCulloch Street,2880,(08) 8087 4283,Broken Hill City Council,"Urinary tract infection, Oral contraceptive pill"
Broken Hill,Amcal Westside Plaza Pharmacy Broken Hill,"Shop 28, 5 Galena Street",2880,(08) 8088 4800,Broken Hill City Council,"Urinary tract infection, Oral contraceptive pill"
Broken Hill,CP Peoples Chemist,323 Argent Street,2880,(08) 8087 3326,Broken Hill City Council,"Urinary tract infection, Oral contraceptive pill"
Broken Hill,Tembys Day and Night Pharmacy,235 Thomas Street,2880,(08) 8087 3452,Broken Hill City Council,"Urinary tract infection, Oral contraceptive pill"
Bronte,TerryWhite Chemmart Bronte Pharmacy,134 Macpherson Street,2024,(02) 9387 1791,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Bronte,Waverley Pharmacy,38A Macpherson Street,2024,(02) 9389 4216,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
Brookvale,Chemist Warehouse Brookvale,"Shop 1, 2-4 Roger Street",2100,(02) 9905 5593,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Brookvale,Priceline Pharmacy Warringah Mall,"Shop 427, Corner Old Pitt Water Road and Condamine Street",2100,(02) 9905 6981,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Brookvale,Warringah Mall Pharmacy,"Shop 1239 Warringah Mall, Old Pittwater Road And Condamine Street",2100,(02) 9939 5525,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Broulee,Broulee Pharmacy Beach,1/77 Coronation Drive,2537,(02) 4471 6001,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Brunswick Heads,Brunswick Heads Pharmacy,14-16 Mullumbimbi Street,2483,(02) 6685 1219,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Budgewoi,Budgewoi Discount Drug Store,79 Scenic Drive,2262,(02) 4390 9182,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Bulahdelah,Bulahdelah Pharmacy,69 Stroud Street,2423,(02) 4997 4275,Mid-Coast Council,Urinary tract infection
Bulli,Bulli Pharmacy,Shop 4 Bulli Shopping Centre 273 Princess Highway,2516,(02) 4284 3101,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Bundanoon,TerryWhite Chemmart Bundanoon,Shop 2/5-9 Church Street,2578,(02) 4883 6220,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Burwood,Blooms the Chemist Burwood,"Shop 46-47 Burwood Plaza, 46 Railway Parade",2134,(02) 9744 9508,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Burwood,Cincotta Compounding Chemist Burwood,"Shop 1, Ground Floor, 25 Belmore Street",2134,(02) 9747 6039,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Burwood,Pharmacy 4 Less Burwood,"Shop 147-149, 100 Burwood Road",2134,(02) 9747 2189,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Burwood,Priceline Pharmacy Burwood,"Shop 301, 100 Burwood Road",2134,(02) 9744 6596,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Byron Bay,Chemist Outlet Byron Bay,51 Jonson Street,2481,(02) 6685 6475,Byron Shire Council,"Urinary tract infection, Oral contraceptive pill"
Byron Bay,Priceline Pharmacy Mercato On Byron,"T2 Mercato On Byron, 108-114 Jonson Street",2481,(02) 6685 7401,Byron Shire,Urinary tract infection
Cabarita Beach,Cabarita Beach 7-Day Chempro Chemist,"Shops 11-12, 39-45 Tweed Coast Road",2488,(02) 6676 1571,Tweed Shire Council,Urinary tract infection
Cabramatta,Cincotta Discount Chemist Cabramatta,Shop 5-7 180 Railway Parade,2166,(02) 9726 6161,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,Pham's Pharmacy,197 Railway Parade,2166,(02) 9724 2507,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,Theng's Pharmacy,2/111 John Street,2166,(02) 9724 4293,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,Park Road Compounding Pharmacy,5/54 Park Road,2166,(02) 9726 2099,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,O'Grady's Pharmacy,473 Cabramatta Road,2166,(02) 9823 6551,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
